,bin_size
bin.lorbin_000635.fa,5
bin.lorbin_000636.fa,2
bin.lorbin_000637.fa,1
bin.lorbin_000638.fa,7
bin.lorbin_000639.fa,16
bin.lorbin_000640.fa,5
bin.lorbin_000641.fa,8
bin.lorbin_000642.fa,8
bin.lorbin_000643.fa,62
bin.lorbin_000644.fa,60
bin.lorbin_000645.fa,78
bin.lorbin_000646.fa,1
bin.lorbin_000647.fa,73
bin.lorbin_000648.fa,74
bin.lorbin_000649.fa,81
bin.lorbin_000650.fa,105
bin.lorbin_000651.fa,58
bin.lorbin_000652.fa,15
bin.lorbin_000653.fa,14
bin.lorbin_000654.fa,57
bin.lorbin_000655.fa,47
bin.lorbin_000656.fa,39
bin.lorbin_000657.fa,13
bin.lorbin_000658.fa,30
bin.lorbin_000659.fa,262
bin.lorbin_000660.fa,34
bin.lorbin_000661.fa,94
bin.lorbin_000662.fa,66
bin.lorbin_000663.fa,16
bin.lorbin_000664.fa,7
bin.lorbin_000665.fa,1
bin.lorbin_000666.fa,15
bin.lorbin_000667.fa,72
bin.lorbin_000668.fa,3
bin.lorbin_000669.fa,199
bin.lorbin_000670.fa,174
bin.lorbin_000671.fa,86
bin.lorbin_000672.fa,35
bin.lorbin_000673.fa,2
bin.lorbin_000674.fa,9
bin.lorbin_000675.fa,38
bin.lorbin_000676.fa,57
bin.lorbin_000677.fa,19
bin.lorbin_000678.fa,40
bin.lorbin_000679.fa,4
bin.lorbin_000001.fa,1
bin.lorbin_000002.fa,2
bin.lorbin_000003.fa,2
bin.lorbin_000004.fa,2
bin.lorbin_000005.fa,6
bin.lorbin_000006.fa,35
bin.lorbin_000007.fa,49
bin.lorbin_000008.fa,7
bin.lorbin_000009.fa,24
bin.lorbin_000010.fa,68
bin.lorbin_000011.fa,5
bin.lorbin_000012.fa,59
bin.lorbin_000013.fa,92
bin.lorbin_000014.fa,27
bin.lorbin_000015.fa,1
bin.lorbin_000016.fa,1
bin.lorbin_000017.fa,344
bin.lorbin_000018.fa,113
bin.lorbin_000019.fa,16
bin.lorbin_000020.fa,35
bin.lorbin_000021.fa,63
bin.lorbin_000022.fa,104
bin.lorbin_000023.fa,43
bin.lorbin_000024.fa,49
bin.lorbin_000025.fa,72
bin.lorbin_000026.fa,57
bin.lorbin_000027.fa,1
