,bin_size
bin.semibin2_000613.fa,16
bin.semibin2_000614.fa,36
bin.semibin2_000615.fa,65
bin.semibin2_000616.fa,84
bin.semibin2_000617.fa,44
bin.semibin2_000618.fa,66
bin.semibin2_000619.fa,4
bin.semibin2_000620.fa,59
bin.semibin2_000621.fa,137
bin.semibin2_000622.fa,66
bin.semibin2_000623.fa,1
bin.semibin2_000624.fa,1
bin.semibin2_000625.fa,8
bin.semibin2_000626.fa,3
bin.semibin2_000627.fa,4
bin.semibin2_000628.fa,6
bin.semibin2_000629.fa,65
bin.semibin2_000630.fa,83
bin.semibin2_000631.fa,54
bin.semibin2_000632.fa,72
bin.semibin2_000633.fa,46
bin.semibin2_000634.fa,2
bin.semibin2_000635.fa,2
bin.semibin2_000636.fa,44
bin.semibin2_000637.fa,6
bin.semibin2_000638.fa,62
bin.semibin2_000639.fa,60
bin.semibin2_000640.fa,45
bin.semibin2_000641.fa,1
bin.semibin2_000642.fa,4
bin.semibin2_000643.fa,10
bin.semibin2_000644.fa,4
bin.semibin2_000645.fa,15
bin.semibin2_000646.fa,10
bin.semibin2_000647.fa,7
bin.semibin2_000648.fa,14
bin.semibin2_000649.fa,32
bin.semibin2_000650.fa,17
bin.semibin2_000651.fa,28
bin.semibin2_000652.fa,76
bin.semibin2_000653.fa,34
bin.semibin2_000654.fa,14
bin.semibin2_000655.fa,67
bin.semibin2_000656.fa,59
bin.semibin2_000657.fa,52
bin.semibin2_000658.fa,31
bin.semibin2_000659.fa,54
bin.semibin2_000660.fa,1
bin.semibin2_000661.fa,1
bin.semibin2_000662.fa,31
bin.semibin2_000663.fa,70
bin.semibin2_000664.fa,126
bin.semibin2_000665.fa,41
bin.semibin2_000666.fa,1
bin.semibin2_000667.fa,10
bin.semibin2_000668.fa,42
bin.semibin2_000669.fa,59
bin.semibin2_000670.fa,16
bin.semibin2_000671.fa,56
bin.semibin2_000672.fa,1
bin.semibin2_000017.fa,59
bin.semibin2_000019.fa,17
bin.semibin2_000021.fa,63
bin.semibin2_000023.fa,39
bin.semibin2_000025.fa,54
bin.semibin2_000027.fa,62
bin.semibin2_000029.fa,25
bin.semibin2_000031.fa,1
bin.semibin2_000033.fa,97
bin.semibin2_000035.fa,1
bin.semibin2_000037.fa,33
bin.semibin2_000039.fa,49
bin.semibin2_000001.fa,1
bin.semibin2_000002.fa,1
bin.semibin2_000003.fa,61
bin.semibin2_000004.fa,19
bin.semibin2_000005.fa,28
bin.semibin2_000006.fa,31
bin.semibin2_000007.fa,1
bin.semibin2_000008.fa,8
bin.semibin2_000009.fa,49
bin.semibin2_000010.fa,23
bin.semibin2_000011.fa,1
bin.semibin2_000012.fa,65
bin.semibin2_000013.fa,1
bin.semibin2_000014.fa,1
bin.semibin2_000015.fa,154
bin.semibin2_000016.fa,56
bin.semibin2_000018.fa,19
bin.semibin2_000020.fa,68
bin.semibin2_000022.fa,59
bin.semibin2_000024.fa,82
bin.semibin2_000026.fa,79
bin.semibin2_000028.fa,1
bin.semibin2_000030.fa,1
bin.semibin2_000032.fa,22
bin.semibin2_000034.fa,62
bin.semibin2_000036.fa,3
bin.semibin2_000038.fa,51
bin.semibin2_000040.fa,8
